frame,time_s,vehicle_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence
40,1.333,5,truck,795.8,293.7,895.3,389.4,845.6,341.6,0.55
41,1.367,2,car,447.2,361.7,489.8,396.7,468.5,379.2,0.748
41,1.367,6,car,450.3,455.3,528.6,521.3,489.4,488.3,0.741
41,1.367,8,car,705.8,363.9,754.6,406.7,730.2,385.3,0.783
41,1.367,7,car,331.8,380.9,384.8,418.2,358.3,399.5,0.547
41,1.367,18,bus,0.0,487.6,292.5,715.5,146.3,601.6,0.662
42,1.4,2,car,447.6,359.8,491.5,395.6,469.5,377.7,0.751
42,1.4,6,car,453.2,451.6,530.1,516.9,491.6,484.2,0.768
42,1.4,8,car,707.7,367.8,757.4,411.6,732.5,389.7,0.696
42,1.4,7,car,335.2,379.6,387.6,416.8,361.4,398.2,0.625
42,1.4,18,bus,4.3,483.0,300.6,714.4,152.4,598.7,0.686
42,1.4,10,car,520.7,308.0,549.1,333.7,534.9,320.8,0.465
42,1.4,5,truck,799.3,296.0,903.6,395.9,851.5,346.0,0.561
43,1.433,2,car,449.1,358.5,492.8,393.8,471.0,376.2,0.797
43,1.433,6,car,455.2,447.8,531.6,513.3,493.4,480.5,0.833
43,1.433,8,car,709.7,371.6,760.4,416.3,735.0,393.9,0.749
43,1.433,7,car,339.3,376.5,394.4,415.4,366.8,396.0,0.63
43,1.433,18,bus,14.3,478.4,313.0,713.8,163.7,596.1,0.676
43,1.433,19,car,286.8,672.5,463.9,720.0,375.4,696.2,0.699
43,1.433,10,car,520.8,307.7,549.1,333.4,535.0,320.6,0.51
43,1.433,4,car,555.2,331.8,586.2,359.9,570.7,345.9,0.524
44,1.467,2,car,450.9,357.1,494.4,392.1,472.6,374.6,0.781
44,1.467,6,car,458.9,445.4,530.8,507.4,494.8,476.4,0.788
44,1.467,8,car,712.0,376.7,762.4,421.1,737.2,398.9,0.761
44,1.467,7,car,342.6,373.5,399.1,413.5,370.8,393.5,0.645
44,1.467,18,bus,24.9,474.3,324.5,713.2,174.7,593.7,0.829
44,1.467,19,car,272.9,661.8,488.2,720.0,380.5,690.9,0.696
44,1.467,10,car,521.2,307.2,549.1,332.7,535.2,319.9,0.531
44,1.467,4,car,554.9,330.9,586.4,359.1,570.7,345.0,0.527
44,1.467,5,bus,804.8,298.1,913.5,401.7,859.2,349.9,0.538
45,1.5,2,car,451.5,356.6,494.9,391.5,473.2,374.1,0.783
45,1.5,6,car,460.0,444.7,530.5,505.5,495.3,475.1,0.792
45,1.5,8,car,712.9,378.5,763.1,422.9,738.0,400.7,0.768
45,1.5,7,car,343.8,372.3,400.7,412.8,372.3,392.5,0.645
