vehicle_id,frame,speed_kmh,lane_id,class
24,100,50.08,right_carriageway_lane1,car
24,101,53.6,right_carriageway_lane1,car
24,102,69.15,right_carriageway_lane1,car
24,103,66.16,right_carriageway_lane1,car
24,104,72.22,right_carriageway_lane1,car
24,105,26.13,right_carriageway_lane1,car
24,106,51.09,right_carriageway_lane1,car
24,107,66.2,right_carriageway_lane1,car
24,108,68.39,right_carriageway_lane1,car
24,109,78.02,right_carriageway_lane1,truck
24,110,80.63,right_carriageway_lane1,car
24,111,29.83,right_carriageway_lane1,car
24,113,141.95,right_carriageway_lane1,car
24,114,83.56,right_carriageway_lane1,truck
24,117,31.62,right_carriageway_lane1,car
24,118,36.62,right_carriageway_lane1,car
24,119,42.44,right_carriageway_lane1,car
24,120,45.59,right_carriageway_lane1,car
25,60,66.79,unknown,truck
25,61,37.56,unknown,truck
25,66,116.18,unknown,truck
25,67,25.32,unknown,truck
25,68,24.8,unknown,truck
25,70,21.39,unknown,truck
25,71,23.61,unknown,truck
25,80,23.11,unknown,truck
25,84,20.8,unknown,truck
25,85,33.1,unknown,truck
25,86,44.17,unknown,truck
25,88,23.16,unknown,truck
25,90,31.48,unknown,truck
25,92,20.25,unknown,truck
25,103,127.44,unknown,car
25,104,26.17,unknown,car
25,119,29.53,unknown,car
25,121,22.83,unknown,car
25,131,90.51,unknown,car
25,136,56.17,unknown,car
25,142,100.02,unknown,car
25,145,51.16,unknown,car
27,64,33.61,right_carriageway_lane3,truck
27,65,44.86,right_carriageway_lane3,truck
27,66,52.91,right_carriageway_lane3,truck
35,82,25.9,right_carriageway_lane2,car
35,86,21.39,right_carriageway_lane2,car
35,88,52.66,right_carriageway_lane2,car
35,89,32.94,right_carriageway_lane2,car
35,90,26.06,right_carriageway_lane2,car
35,91,39.52,right_carriageway_lane2,car
35,92,43.57,right_carriageway_lane3,car
35,96,30.58,right_carriageway_lane3,car
35,97,34.22,right_carriageway_lane3,car
35,98,29.28,right_carriageway_lane3,car
35,100,46.39,right_carriageway_lane3,car
35,101,42.95,right_carriageway_lane3,car
35,102,22.28,right_carriageway_lane3,car
35,103,65.57,right_carriageway_lane3,car
35,104,23.46,right_carriageway_lane3,car
35,107,34.6,right_carriageway_lane3,car
35,108,39.96,right_carriageway_lane3,car
35,109,39.96,right_carriageway_lane3,car
35,110,38.2,right_carriageway_lane3,car
35,112,39.01,right_carriageway_lane3,car
35,113,32.84,right_carriageway_lane3,car
35,114,56.46,right_carriageway_lane3,car
35,115,38.79,right_carriageway_lane3,car
35,116,32.77,right_carriageway_lane3,car
35,118,51.47,right_carriageway_lane3,car
35,119,36.72,right_carriageway_lane3,car
35,120,45.17,right_carriageway_lane3,car
35,121,47.07,right_carriageway_lane3,car
35,122,52.99,right_carriageway_lane3,car
35,124,37.24,right_carriageway_lane3,car
35,125,47.05,right_carriageway_lane3,car
35,126,51.76,right_carriageway_lane3,car
35,127,54.89,right_carriageway_lane3,car
35,128,53.62,right_carriageway_lane3,car
35,130,43.5,right_carriageway_lane3,car
35,131,53.16,right_carriageway_lane3,car
35,132,53.68,right_carriageway_lane3,car
35,133,55.21,right_carriageway_lane3,car
35,134,61.23,right_carriageway_lane3,car
35,135,24.29,right_carriageway_lane3,car
35,136,47.26,right_carriageway_lane3,car
35,137,57.77,right_carriageway_lane3,car
35,138,61.89,right_carriageway_lane3,car
35,139,66.62,right_carriageway_lane3,car
35,140,67.18,right_carriageway_lane3,car
35,141,24.68,right_carriageway_lane3,car
35,142,52.45,right_carriageway_lane3,car
35,143,63.27,unknown,car
35,144,73.0,unknown,car
35,145,73.2,right_carriageway_lane3,car
35,146,80.35,right_carriageway_lane3,car
35,147,28.68,right_carriageway_lane3,car
35,148,21.33,right_carriageway_lane3,car
36,96,34.84,unknown,car
36,97,34.2,unknown,car
36,98,35.65,unknown,car
36,100,30.94,unknown,car
36,101,35.57,unknown,car
36,102,33.46,unknown,car
36,103,31.29,unknown,car
36,104,37.66,unknown,car
